city,model,horizon,R2_train,R2_val,R2_test,MAE_test,RMSE_test,MAPE_test,epochs,train_s
Ahmedabad,BiLSTM,1,0.6021,0.4853,0.6704,28.99,44.78,23.28,16,244.4
Ahmedabad,BiLSTM,6,0.4751,0.288,0.5715,33.37,51.05,26.11,11,156.0
Ahmedabad,BiLSTM,24,0.3871,0.1956,0.5448,35.22,52.63,31.07,10,149.0
Chennai,BiLSTM,1,0.3748,0.3791,0.4082,16.35,26.6,21.85,12,282.9
Chennai,BiLSTM,6,0.2818,0.2401,0.19,18.97,31.12,25.3,12,262.5
Chennai,BiLSTM,24,0.2188,0.1567,0.0726,19.18,33.3,24.62,11,245.2
Delhi_NCR,BiLSTM,1,0.8293,0.8116,0.8631,33.14,46.53,24.88,23,861.0
Delhi_NCR,BiLSTM,6,0.7394,0.7052,0.7812,43.32,58.83,32.75,15,568.9
Delhi_NCR,BiLSTM,24,0.5941,0.6284,0.7122,49.96,67.47,40.94,9,345.5
GandhiNagar,BiLSTM,1,0.6902,0.5206,0.5765,17.79,27.02,27.85,24,681.2
GandhiNagar,BiLSTM,6,0.5332,0.3476,0.3902,22.11,32.43,35.82,14,411.7
GandhiNagar,BiLSTM,24,0.4769,0.3052,0.3238,23.67,34.15,38.89,17,506.1
Hyderabad,BiLSTM,1,0.658,0.373,0.4804,20.04,27.17,24.14,14,744.9
Hyderabad,BiLSTM,6,0.5853,0.2195,0.4122,22.27,28.9,29.74,15,832.5
Hyderabad,BiLSTM,24,0.5589,0.1555,0.3112,24.83,31.29,35.07,14,783.8
Indore,BiLSTM,1,0.7239,0.712,0.6998,24.34,38.37,20.38,12,255.9
Indore,BiLSTM,6,0.6411,0.5677,0.5127,28.59,48.88,21.96,15,337.9
Indore,BiLSTM,24,0.5289,0.5028,0.526,31.75,48.22,28.49,11,258.4
Jaipur,BiLSTM,1,0.7159,0.6776,0.4604,27.88,45.24,19.61,27,583.8
Jaipur,BiLSTM,6,0.5238,0.4992,0.3066,32.75,51.29,24.02,11,254.5
Jaipur,BiLSTM,24,0.4751,0.4432,0.1867,37.2,55.56,27.96,12,252.5
Jodhpur,BiLSTM,1,0.6059,0.619,-3.473,156.0,192.39,143.59,23,517.4
Jodhpur,BiLSTM,6,0.4031,0.4529,-0.9071,89.72,125.6,73.61,10,219.4
Jodhpur,BiLSTM,24,0.3509,0.4029,-3.4654,144.78,192.06,141.47,9,196.5
Mumbai,BiLSTM,1,0.6962,0.4476,0.4964,26.33,44.03,34.68,14,377.5
Mumbai,BiLSTM,6,0.6145,0.2835,0.349,28.97,50.06,35.28,13,363.6
Mumbai,BiLSTM,24,0.4884,0.19,0.2152,31.77,54.97,38.99,11,331.4
Mumbai_suburbs,BiLSTM,1,0.7797,0.3959,0.7303,17.19,25.25,22.03,15,180.5
Mumbai_suburbs,BiLSTM,6,0.664,0.2765,0.6722,19.12,27.83,24.65,11,125.1
Mumbai_suburbs,BiLSTM,24,0.627,0.1628,0.4287,28.19,36.73,41.64,13,155.7
Nagpur,BiLSTM,1,0.8065,0.8009,0.7986,19.56,29.49,24.74,21,836.8
Nagpur,BiLSTM,6,0.6741,0.6971,0.7012,24.45,35.91,28.88,11,437.3
Nagpur,BiLSTM,24,0.641,0.6475,0.6339,27.33,39.75,34.64,14,559.5
Pune,BiLSTM,1,0.6324,0.6254,-0.0866,61.23,85.73,188.71,9,314.8
Pune,BiLSTM,6,0.6706,0.6146,-0.0407,57.83,83.91,176.46,14,487.4
Pune,BiLSTM,24,0.6067,0.4939,-0.3125,69.82,94.24,184.26,13,451.0
Singrauli,BiLSTM,1,0.8054,0.5463,0.6172,45.35,66.69,34.56,24,815.7
Singrauli,BiLSTM,6,0.6817,0.4079,0.4793,54.94,77.79,43.82,13,440.7
Singrauli,BiLSTM,24,0.6243,0.2642,0.3733,61.9,85.35,52.12,11,385.8
Surat,BiLSTM,1,0.5921,0.4516,0.3316,41.57,73.12,55.62,18,269.2
Surat,BiLSTM,6,0.5738,0.4107,0.249,45.84,77.52,63.23,17,233.9
Surat,BiLSTM,24,0.4813,0.2992,0.1816,51.13,80.86,74.95,12,158.2
Thane,BiLSTM,1,0.7736,0.5478,0.74,16.7,24.36,21.6,23,239.7
Thane,BiLSTM,6,0.6361,0.387,0.6027,22.1,30.11,31.84,9,85.2
Thane,BiLSTM,24,0.6002,0.2088,0.541,23.24,32.36,32.35,9,95.4
Vapi,BiLSTM,1,0.7626,0.687,0.4395,40.16,57.32,43.83,13,378.2
Vapi,BiLSTM,6,0.7393,0.61,0.3717,44.51,60.69,52.45,12,352.4
Vapi,BiLSTM,24,0.6489,0.6016,0.2393,48.75,66.79,54.73,9,264.1
bhopal,BiLSTM,1,0.7683,0.6861,0.6951,27.09,43.47,22.97,31,691.7
bhopal,BiLSTM,6,0.5963,0.5962,0.6353,32.11,47.55,27.89,10,218.6
bhopal,BiLSTM,24,0.5275,0.5442,0.5885,35.54,50.49,36.5,9,196.7
vishakhapattanam,BiLSTM,1,0.6776,0.5511,0.7096,30.18,46.18,25.69,16,279.0
vishakhapattanam,BiLSTM,6,0.5357,0.3914,0.6226,34.13,52.65,26.92,10,175.7
vishakhapattanam,BiLSTM,24,0.459,0.3019,0.5048,40.05,60.33,32.28,11,187.5
