city,model,horizon,R2,MAE,RMSE,train_s
Ahmedabad,XGBoost,1,0.42,40.44,59.3,0.3
Ahmedabad,XGBoost,6,0.4222,40.49,59.19,0.4
Ahmedabad,XGBoost,24,0.4339,39.84,58.6,0.4
Chennai,XGBoost,1,0.0193,17.89,34.22,0.4
Chennai,XGBoost,6,0.0211,17.83,34.19,0.5
Chennai,XGBoost,24,0.0249,17.73,34.12,0.5
Delhi_NCR,XGBoost,1,0.6232,60.91,77.22,0.7
Delhi_NCR,XGBoost,6,0.6239,60.84,77.14,0.7
Delhi_NCR,XGBoost,24,0.6225,60.91,77.28,0.6
GandhiNagar,XGBoost,1,0.2086,26.85,36.93,0.5
GandhiNagar,XGBoost,6,0.2068,26.89,36.97,0.5
GandhiNagar,XGBoost,24,0.1987,27.06,37.15,0.5
Hyderabad,XGBoost,1,0.2575,24.99,32.53,0.8
Hyderabad,XGBoost,6,0.2574,25.0,32.53,0.8
Hyderabad,XGBoost,24,0.2572,24.99,32.52,0.9
Indore,XGBoost,1,0.4425,34.5,52.22,0.4
Indore,XGBoost,6,0.4425,34.52,52.22,0.4
Indore,XGBoost,24,0.4412,34.59,52.28,0.5
Jaipur,XGBoost,1,-0.0119,43.24,61.85,0.4
Jaipur,XGBoost,6,-0.0093,43.05,61.77,0.5
Jaipur,XGBoost,24,0.0081,42.76,61.25,0.5
Jodhpur,XGBoost,1,0.1737,65.49,82.64,0.4
Jodhpur,XGBoost,6,0.1744,65.47,82.61,0.5
Jodhpur,XGBoost,24,0.174,65.51,82.64,0.5
Mumbai,XGBoost,1,-0.3419,53.07,71.77,0.5
Mumbai,XGBoost,6,-0.3481,53.13,71.94,0.6
Mumbai,XGBoost,24,-0.3522,53.19,72.06,0.5
Mumbai_suburbs,XGBoost,1,-0.1956,39.49,53.31,0.3
Mumbai_suburbs,XGBoost,6,-0.1928,39.41,53.24,0.3
Mumbai_suburbs,XGBoost,24,-0.1967,39.35,53.31,0.3
Nagpur,XGBoost,1,0.5088,34.56,46.05,0.7
Nagpur,XGBoost,6,0.5082,34.55,46.08,0.7
Nagpur,XGBoost,24,0.5066,34.56,46.15,0.7
Pune,XGBoost,1,-0.0188,58.72,83.0,0.6
Pune,XGBoost,6,-0.0167,58.72,82.92,0.6
Pune,XGBoost,24,-0.0236,58.82,83.21,0.7
Singrauli,XGBoost,1,0.1478,76.05,99.53,0.6
Singrauli,XGBoost,6,0.1431,76.27,99.8,0.6
Singrauli,XGBoost,24,0.1442,76.61,99.75,0.6
Surat,XGBoost,1,-0.4822,83.28,108.74,0.3
Surat,XGBoost,6,-0.4789,83.36,108.63,0.4
Surat,XGBoost,24,-0.4605,83.4,107.98,0.4
Thane,XGBoost,1,0.2637,30.32,40.98,0.3
Thane,XGBoost,6,0.2632,30.37,40.99,0.3
Thane,XGBoost,24,0.2612,30.37,41.04,0.3
Vapi,XGBoost,1,-0.2442,64.65,85.55,0.5
Vapi,XGBoost,6,-0.2384,64.55,85.36,0.5
Vapi,XGBoost,24,-0.2285,64.22,85.02,0.5
bhopal,XGBoost,1,0.4954,40.12,55.88,0.4
bhopal,XGBoost,6,0.4992,40.04,55.68,0.4
bhopal,XGBoost,24,0.5048,39.85,55.37,0.4
vishakhapattanam,XGBoost,1,0.2432,48.75,74.4,0.3
vishakhapattanam,XGBoost,6,0.2458,48.68,74.28,0.4
vishakhapattanam,XGBoost,24,0.2489,48.58,74.14,0.4
