city,model,horizon,R2_train,MAE_train,R2_val,MAE_val,R2_test,MAE_test,RMSE_test,MAPE_test,train_s
Ahmedabad,XGBoost,1,0.8198,24.01,0.6143,41.02,0.7268,26.73,40.7,23.54,3.6
Ahmedabad,XGBoost,6,0.6718,34.18,0.3444,57.15,0.5625,35.04,51.51,31.54,2.3
Ahmedabad,XGBoost,24,0.5953,38.59,0.2635,60.36,0.4874,40.48,55.76,41.44,1.8
Chennai,XGBoost,1,0.7832,10.79,0.4913,18.24,0.5625,10.63,22.85,13.47,4.3
Chennai,XGBoost,6,0.6497,14.15,0.2456,24.83,0.2714,14.63,29.49,17.86,3.0
Chennai,XGBoost,24,0.6245,14.67,0.1645,24.91,0.1895,15.45,31.11,18.41,3.0
Delhi_NCR,XGBoost,1,0.8999,27.78,0.8713,28.99,0.9045,26.72,38.88,19.26,8.9
Delhi_NCR,XGBoost,6,0.7803,44.14,0.7221,45.22,0.8008,41.02,56.14,30.74,4.7
Delhi_NCR,XGBoost,24,0.6987,52.93,0.66,49.64,0.7317,47.98,65.16,37.65,2.9
GandhiNagar,XGBoost,1,0.8761,8.8,0.5799,14.88,0.6415,15.75,24.85,23.39,4.9
GandhiNagar,XGBoost,6,0.7148,14.28,0.3551,20.12,0.4083,21.96,31.93,36.25,4.2
GandhiNagar,XGBoost,24,0.6481,16.02,0.3547,20.77,0.358,22.74,33.26,39.01,3.4
Hyderabad,XGBoost,1,0.7612,18.95,0.6144,19.29,0.6483,16.33,22.39,21.3,5.1
Hyderabad,XGBoost,6,0.6118,25.59,0.4004,25.04,0.4871,20.85,27.03,27.98,3.3
Hyderabad,XGBoost,24,0.5975,25.96,0.3046,27.12,0.4043,22.89,29.12,31.39,2.8
Indore,XGBoost,1,0.9215,13.84,0.8271,21.59,0.8218,18.17,29.52,15.23,5.7
Indore,XGBoost,6,0.7622,23.68,0.6025,33.41,0.6017,27.3,44.14,22.31,3.3
Indore,XGBoost,24,0.6641,27.94,0.5245,37.32,0.5432,29.89,47.27,25.42,2.3
Jaipur,XGBoost,1,0.8462,23.18,0.7648,23.47,0.5649,27.68,40.56,21.35,4.9
Jaipur,XGBoost,6,0.6444,37.19,0.4798,37.69,0.3461,30.36,49.72,21.88,2.5
Jaipur,XGBoost,24,0.6326,37.94,0.4267,41.27,0.0918,40.66,58.61,32.07,3.4
Jodhpur,XGBoost,1,0.722,34.68,0.6709,42.55,0.4695,46.79,66.22,47.69,2.8
Jodhpur,XGBoost,6,0.6135,41.53,0.463,54.68,0.2869,54.42,76.77,54.72,4.0
Jodhpur,XGBoost,24,0.4991,47.5,0.4678,56.6,0.2096,63.42,80.84,74.3,2.5
Mumbai,XGBoost,1,0.8217,23.79,0.5714,16.75,0.657,19.85,36.29,26.41,2.5
Mumbai,XGBoost,6,0.7173,32.14,0.3228,23.82,0.3596,30.5,49.58,41.71,2.8
Mumbai,XGBoost,24,0.6801,34.84,0.2463,25.98,0.0872,39.43,59.21,56.97,3.1
Mumbai_suburbs,XGBoost,1,0.9253,11.61,0.6189,9.68,0.8499,11.67,18.89,15.63,2.3
Mumbai_suburbs,XGBoost,6,0.8399,18.12,0.3072,15.33,0.6803,20.14,27.57,30.27,2.2
Mumbai_suburbs,XGBoost,24,0.7572,22.47,0.1355,17.95,0.5596,23.96,32.34,38.55,1.5
Nagpur,XGBoost,1,0.9094,13.73,0.8693,16.96,0.8706,15.28,23.64,19.57,9.2
Nagpur,XGBoost,6,0.8149,20.0,0.7081,25.88,0.7067,24.04,35.58,30.59,7.5
Nagpur,XGBoost,24,0.7328,23.44,0.6365,29.11,0.6441,27.64,39.2,38.05,4.1
Pune,XGBoost,1,0.7992,17.97,0.7612,33.37,0.5168,34.64,57.16,185.82,3.6
Pune,XGBoost,6,0.7186,22.77,0.6707,41.41,0.3545,41.55,66.08,182.14,3.1
Pune,XGBoost,24,0.6998,23.64,0.5614,48.69,0.3204,43.04,67.8,181.38,2.9
Singrauli,XGBoost,1,0.8957,28.14,0.6512,32.31,0.6864,40.04,60.38,30.7,7.3
Singrauli,XGBoost,6,0.7557,44.86,0.4109,46.18,0.5191,54.45,74.77,46.9,4.0
Singrauli,XGBoost,24,0.6672,53.42,0.316,51.07,0.4589,59.31,79.32,55.05,2.4
Surat,XGBoost,1,0.7193,35.63,0.5066,32.24,0.3927,39.03,69.6,51.28,1.4
Surat,XGBoost,6,0.6543,42.31,0.3639,38.74,0.1987,47.75,79.96,67.51,1.3
Surat,XGBoost,24,0.6549,42.37,0.3393,39.71,0.1562,51.69,82.07,75.63,1.6
Thane,XGBoost,1,0.9197,9.73,0.7219,8.15,0.8465,11.65,18.71,14.87,1.9
Thane,XGBoost,6,0.8456,14.55,0.4386,13.31,0.6476,20.27,28.35,27.27,1.9
Thane,XGBoost,24,0.7476,18.7,0.2192,16.37,0.4751,25.07,34.59,37.37,1.4
Vapi,XGBoost,1,0.8434,25.53,0.742,29.53,0.5569,33.55,51.05,37.96,2.3
Vapi,XGBoost,6,0.7939,30.51,0.6589,36.05,0.4234,42.43,58.24,50.72,2.8
Vapi,XGBoost,24,0.7204,37.14,0.6233,39.05,0.3577,44.56,61.48,53.08,1.8
bhopal,XGBoost,1,0.8841,15.93,0.8189,20.72,0.8214,20.58,33.24,18.85,3.8
bhopal,XGBoost,6,0.7684,23.33,0.676,28.28,0.6712,29.43,45.11,27.04,3.4
bhopal,XGBoost,24,0.7258,25.65,0.5891,32.14,0.602,32.85,49.64,30.95,3.2
vishakhapattanam,XGBoost,1,0.8856,15.87,0.6943,26.65,0.7728,25.14,40.76,20.78,5.7
vishakhapattanam,XGBoost,6,0.6713,27.23,0.474,37.45,0.5412,37.01,57.93,29.47,2.0
vishakhapattanam,XGBoost,24,0.6406,28.78,0.3472,42.49,0.511,39.21,59.82,31.85,2.3
